	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SV356	32.0721068323281	5.84476053987161	2.19476100342358	2.66305102503391	0.00774356711238853	0.0320804923227525
SV68	49.2410342330526	-3.0818468829249	1.22072180116584	-2.52461034117816	0.0115826637221443	0.0447862997256247
SV951	81.3709383994444	-6.24287674791173	1.71377992944768	-3.64275286496307	0.000269737785468467	0.00156447915571711
SV41	40.0164688970259	-6.51656266090563	2.13150727783655	-3.05725564658632	0.00223373679302906	0.0107963944996404
SV18	129.582456480705	-7.00940649505315	1.8009184126173	-3.89212884156495	9.93684474573655e-05	0.000640374439169689
SV994	41.7836726560079	-7.01267446485552	1.78937300574119	-3.91906798770038	8.88920395110956e-05	0.000640374439169689
SV1268	13.133678556208	-7.98246976528646	2.68405106179542	-2.97403796779738	0.00293908705913559	0.0131128499561434
SV3	18661.2173423218	-8.26539096291295	2.09992569839118	-3.93603972237937	8.28372676286128e-05	0.000640374439169689
SV1	17.0755711789643	-8.36062692845032	2.58804810135766	-3.23047586482818	0.00123584337925618	0.00651626509062352
SV146	21.9724689266692	-8.77948757842951	1.85072603861244	-4.74380723848886	2.09738440100909e-06	2.43296590517054e-05
SV3338	27.8460253410813	-10.1857332329495	2.61201595665169	-3.8995677675746	9.6364563527408e-05	0.000640374439169689
SV2563	21.2293822730359	-24.5676278115535	2.74046117023209	-8.96477865784641	3.10904663570649e-19	4.5081176217744e-18
SV5243	21.862909254039	-24.607564506825	2.73894433651923	-8.98432442701534	2.60328655736339e-19	4.5081176217744e-18
SV3107	22.1302748769022	-24.6251924014452	2.74015752326609	-8.98677984471986	2.54579898775073e-19	4.5081176217744e-18
SV1541	36.2128377050899	-25.2884806478098	2.78087524132389	-9.09371275346056	9.57135078347535e-20	4.5081176217744e-18
